iter	Logloss
0	0.6780837957
1	0.6659820531
2	0.655173727
3	0.6454805093
4	0.6357807632
5	0.6284516204
6	0.6209003348
7	0.613604818
8	0.6075984288
9	0.6014270261
10	0.5957921001
11	0.5910245755
12	0.5866244691
13	0.582477623
14	0.5787669928
15	0.5746788591
16	0.5710295908
17	0.5682529374
18	0.5656945033
19	0.5629557986
20	0.5598492542
21	0.5581543661
22	0.5561385351
23	0.5534498836
24	0.5516734631
25	0.5486238848
26	0.5464533323
27	0.5447121538
28	0.5427570747
29	0.540618067
30	0.5385000006
31	0.5366516478
32	0.5346956193
33	0.533009136
34	0.532296442
35	0.5312519394
36	0.5298166678
37	0.5287228408
38	0.5273762285
39	0.5268177983
40	0.5255156497
41	0.5248539485
42	0.5235871454
43	0.5220195574
44	0.5205950721
45	0.5195593608
46	0.5186423428
47	0.5178309364
48	0.5169337096
49	0.5161902243
50	0.5152396305
51	0.5140798264
52	0.5132484003
53	0.5122667687
54	0.5112569835
55	0.5105756118
56	0.5098588441
57	0.5095251537
58	0.5089264754
59	0.5082286568
60	0.5072521599
61	0.5066333619
62	0.5061020789
63	0.5058400228
64	0.5051007447
65	0.504754434
66	0.5038839203
67	0.5029499617
68	0.502337115
69	0.5017651937
70	0.5012076214
71	0.5007315243
72	0.5003847965
73	0.5000539898
74	0.4994745415
75	0.4990802151
76	0.4986694008
77	0.4982280938
78	0.4972394856
79	0.4967469424
80	0.4962695269
81	0.4958100439
82	0.4951850657
83	0.4947200963
84	0.4942621657
85	0.4938926922
86	0.4933894252
87	0.4931037053
88	0.492752678
89	0.4923326867
90	0.4920208487
91	0.4916942935
92	0.4912490276
93	0.4910112751
94	0.490678826
95	0.49039898
96	0.4899723916
97	0.4899047086
98	0.4896875762
99	0.4895626813
100	0.4890764761
101	0.4888695805
102	0.4884025216
103	0.4880338922
104	0.4876326595
105	0.4871879105
106	0.4867101706
107	0.4863421448
108	0.4858271752
109	0.4854114901
110	0.4848787394
111	0.4846220789
112	0.4842896034
113	0.4840053486
114	0.4837064025
115	0.483279232
116	0.482950456
117	0.4826827451
118	0.4824095949
119	0.4818192363
120	0.4813873912
121	0.4812072546
122	0.4808242082
123	0.4805207129
124	0.4802023447
125	0.4797395399
126	0.4794372877
127	0.4791489648
128	0.4786978395
129	0.4785095088
130	0.478322153
131	0.4780528692
132	0.4778368756
133	0.4776295576
134	0.4771858352
135	0.4769603769
136	0.4767188545
137	0.4763464791
138	0.4759683138
139	0.4757823595
140	0.475522952
141	0.4753236794
142	0.4749851776
143	0.4745476671
144	0.4743259812
145	0.474033497
146	0.4736256507
147	0.4732470814
148	0.4732090137
149	0.4727307062
150	0.4723962109
151	0.4721141922
152	0.4715640233
153	0.4713441499
154	0.4710525734
155	0.470744273
156	0.4702099007
157	0.4697830944
158	0.4694242268
159	0.4691751293
160	0.4687957318
161	0.468531851
162	0.4681140316
163	0.4676648549
164	0.4672747819
165	0.4669366106
166	0.4665887313
167	0.4661564208
168	0.4659892504
169	0.4656465449
170	0.4653933255
171	0.4648456511
172	0.4643749045
173	0.4641302736
174	0.4636926444
175	0.4633403882
176	0.4628793186
177	0.4625990226
178	0.4621602012
179	0.4617589138
180	0.4613600261
181	0.4609460795
182	0.4603052474
183	0.4600826454
184	0.4596764585
185	0.4593358821
186	0.4589076538
187	0.4586115379
188	0.4580578355
189	0.457771041
190	0.4572067682
191	0.456895581
192	0.4564832383
193	0.4560641055
194	0.4556893941
195	0.4552388211
196	0.4549005139
197	0.4544652066
198	0.454129876
199	0.4536425831
200	0.4531668978
201	0.4528499804
202	0.4526040649
203	0.4521072305
204	0.4518145393
205	0.451578263
206	0.4514044033
207	0.451145348
208	0.4508140582
209	0.4505366656
210	0.4502613103
211	0.4500736147
212	0.449933605
213	0.4497305031
214	0.4493162363
215	0.4488482318
216	0.4485782215
217	0.4480631377
218	0.4480282742
219	0.4477477666
220	0.4472684241
221	0.4469479136
222	0.4464730518
223	0.4462619707
224	0.4458618314
225	0.4455531516
226	0.4453273167
227	0.4447897734
228	0.4444115664
229	0.444216398
230	0.4437560074
231	0.4433906778
232	0.4431419558
233	0.4428939379
234	0.4425981046
235	0.4422294375
236	0.4417403034
237	0.4417119961
238	0.4413929866
239	0.4413051659
240	0.4409424386
241	0.4405971564
242	0.4401958709
243	0.4397299995
244	0.4394012471
245	0.4390330327
246	0.4389907995
247	0.4384803377
248	0.4380873288
249	0.4378055385
250	0.4377905985
251	0.4374462172
252	0.437077182
253	0.436788215
254	0.4365724365
255	0.4362779412
256	0.435918486
257	0.4356355833
258	0.4354631938
259	0.4350195
260	0.4350013674
261	0.4347190529
262	0.4344928884
263	0.4340359463
264	0.4340190615
265	0.4338011477
266	0.4333643015
267	0.4331834329
268	0.4328712353
269	0.4325563643
270	0.4323852625
271	0.4319039976
272	0.4315872106
273	0.4313513125
274	0.4309868696
275	0.4308572955
276	0.4305504651
277	0.4302015718
278	0.4301170786
279	0.4297333945
280	0.4296845854
281	0.4296701544
282	0.4295034164
283	0.4292586711
284	0.4287906783
285	0.428359319
286	0.4280596326
287	0.4279027085
288	0.4276986287
289	0.4275352464
290	0.4271388168
291	0.4270089512
292	0.4269594225
293	0.426823883
294	0.4265259236
295	0.426366381
296	0.4262209743
297	0.4259439967
298	0.4257745144
299	0.4255377483
300	0.4254679237
301	0.4250468787
302	0.4247722126
303	0.4244437999
304	0.4240321704
305	0.4238330207
306	0.4237253571
307	0.4232604197
308	0.4230404322
309	0.4226182937
310	0.4224812343
311	0.4224691034
312	0.4220598215
313	0.4216881791
314	0.4214780769
315	0.421341344
316	0.4211063868
317	0.4207784825
318	0.4204321981
319	0.4202983992
320	0.4199132681
321	0.4198376635
322	0.4196945232
323	0.4196740873
324	0.4194568113
325	0.4191646008
326	0.4188243307
327	0.4186616669
328	0.4183667508
329	0.4181729759
330	0.4180833528
331	0.4178705308
332	0.4176111841
333	0.4173665911
334	0.4171817618
335	0.416935925
336	0.4166119099
337	0.4166012233
