iter	Passed	Remaining
0	266	106376
1	312	62127
2	347	45937
3	382	37890
4	416	32926
5	450	29594
6	482	27113
7	524	25682
8	556	24190
9	593	23129
10	623	22058
11	658	21293
12	692	20614
13	725	19996
14	756	19424
15	790	18975
16	821	18499
17	853	18103
18	887	17798
19	928	17637
20	960	17343
21	1002	17224
22	1035	16971
23	1066	16707
24	1100	16508
25	1133	16310
26	1167	16130
27	1200	15947
28	1231	15755
29	1261	15562
30	1298	15452
31	1333	15335
32	1367	15209
33	1398	15055
34	1430	14922
35	1462	14783
36	1492	14644
37	1524	14525
38	1556	14404
39	1583	14248
40	1613	14128
41	1642	14002
42	1675	13913
43	1714	13873
44	1748	13793
45	1782	13720
46	1817	13647
47	1848	13558
48	1880	13470
49	1912	13384
50	1945	13311
51	1976	13229
52	2009	13155
53	2039	13070
54	2070	12987
55	2110	12966
56	2144	12902
57	2176	12832
58	2210	12774
59	2241	12702
60	2273	12633
61	2303	12558
62	2336	12496
63	2368	12436
64	2399	12368
65	2421	12252
66	2451	12184
67	2487	12145
68	2524	12108
69	2557	12057
70	2589	11999
71	2619	11934
72	2651	11876
73	2682	11818
74	2714	11761
75	2746	11707
76	2779	11657
77	2808	11594
78	2854	11599
79	2894	11579
80	2929	11535
81	2962	11488
82	2994	11437
83	3025	11380
84	3056	11328
85	3087	11274
86	3120	11226
87	3152	11176
88	3184	11129
89	3215	11074
90	3247	11026
91	3284	10994
92	3321	10965
93	3353	10916
94	3385	10868
95	3416	10818
96	3455	10795
97	3469	10691
98	3507	10663
99	3541	10625
100	3572	10577
101	3603	10526
102	3633	10476
103	3664	10430
104	3703	10405
105	3740	10375
106	3773	10333
107	3804	10286
108	3836	10243
109	3867	10195
110	3900	10155
111	3934	10116
112	3967	10075
113	3997	10027
114	4028	9983
115	4071	9968
116	4108	9938
117	4140	9895
118	4173	9854
119	4204	9811
120	4235	9766
121	4265	9719
122	4297	9677
123	4329	9637
124	4361	9594
125	4391	9550
126	4430	9523
127	4478	9517
128	4522	9501
129	4557	9465
130	4588	9421
131	4617	9375
132	4648	9331
133	4679	9289
134	4710	9245
135	4740	9201
136	4770	9157
137	4799	9112
138	4830	9069
139	4868	9041
140	4904	9009
141	4936	8969
142	4971	8935
143	5005	8899
144	5043	8868
145	5082	8842
146	5116	8806
147	5153	8774
148	5165	8702
149	5200	8668
150	5234	8632
151	5298	8645
152	5331	8606
153	5360	8563
154	5391	8522
155	5423	8482
156	5454	8441
157	5486	8403
158	5520	8367
159	5550	8325
160	5582	8287
161	5614	8247
162	5650	8216
163	5688	8186
164	5726	8155
165	5756	8114
166	5789	8077
167	5822	8040
168	5855	8004
169	5889	7968
170	5923	7932
171	5955	7894
172	5987	7856
173	6020	7819
174	6065	7798
175	6098	7762
176	6135	7730
177	6166	7691
178	6198	7652
179	6227	7611
180	6259	7573
181	6290	7534
182	6320	7494
183	6352	7456
184	6383	7418
185	6414	7379
186	6449	7346
187	6485	7313
188	6519	7278
189	6553	7242
190	6582	7202
191	6612	7163
192	6641	7123
193	6672	7085
194	6703	7047
195	6735	7010
196	6765	6972
197	6796	6934
198	6826	6894
199	6865	6865
200	6899	6831
201	6933	6796
202	6964	6758
203	6995	6721
204	7026	6683
205	7057	6646
206	7090	6610
207	7123	6575
208	7163	6546
209	7193	6508
210	7224	6470
211	7267	6444
212	7303	6411
213	7337	6377
214	7378	6349
215	7417	6318
216	7458	6289
217	7496	6258
218	7536	6228
219	7567	6191
220	7599	6155
221	7634	6120
222	7674	6091
223	7714	6061
224	7745	6023
225	7777	5988
226	7808	5950
227	7839	5913
228	7869	5876
229	7903	5841
230	7936	5806
231	7968	5770
232	7997	5732
233	8031	5697
234	8075	5670
235	8131	5650
236	8169	5618
237	8201	5582
238	8232	5545
239	8265	5510
240	8295	5473
241	8329	5438
242	8361	5402
243	8398	5369
244	8427	5331
245	8468	5301
246	8495	5262
247	8528	5227
248	8557	5189
249	8590	5154
250	8621	5118
251	8652	5081
252	8684	5045
253	8715	5009
254	8746	4973
255	8787	4943
256	8827	4911
257	8868	4880
258	8901	4845
259	8933	4810
260	8962	4773
261	8993	4737
262	9023	4700
263	9053	4664
264	9088	4630
265	9119	4594
266	9150	4558
267	9182	4522
268	9211	4486
269	9243	4450
270	9282	4418
271	9318	4384
272	9348	4348
273	9379	4313
274	9409	4276
275	9440	4241
276	9470	4205
277	9501	4169
278	9533	4134
279	9567	4100
280	9597	4064
281	9628	4028
282	9667	3996
283	9702	3962
284	9735	3928
285	9767	3893
286	9798	3858
287	9830	3822
288	9863	3788
289	9897	3754
290	9927	3718
291	9961	3684
292	9999	3651
293	10030	3616
294	10066	3583
295	10103	3549
296	10139	3516
297	10170	3481
298	10200	3445
299	10232	3410
300	10263	3375
301	10295	3340
302	10325	3305
303	10357	3270
304	10387	3235
305	10418	3200
306	10451	3166
307	10487	3132
308	10527	3100
309	10562	3066
310	10604	3034
311	10664	3007
312	10725	2981
313	10763	2947
314	10799	2914
315	10833	2879
316	10869	2845
317	10904	2811
318	10941	2778
319	10975	2743
320	11020	2712
321	11061	2679
322	11115	2649
323	11183	2623
324	11219	2589
325	11257	2555
326	11297	2521
327	11334	2488
328	11369	2453
329	11403	2418
330	11438	2384
331	11475	2350
332	11512	2316
333	11546	2281
334	11578	2246
335	11611	2211
336	11645	2177
337	11680	2142
338	11715	2108
339	11761	2075
340	11798	2041
341	11832	2006
342	11878	1974
343	11916	1939
344	11949	1905
345	11982	1870
346	12021	1836
347	12062	1802
348	12101	1768
349	12135	1733
350	12168	1698
351	12202	1663
352	12233	1628
353	12266	1593
354	12307	1560
355	12340	1525
356	12372	1490
357	12404	1455
358	12434	1420
359	12466	1385
360	12498	1350
361	12530	1315
362	12562	1280
363	12592	1245
364	12624	1210
365	12656	1175
366	12700	1141
367	12733	1107
368	12775	1073
369	12807	1038
370	12839	1003
371	12872	968
372	12904	934
373	12937	899
374	12975	865
375	13009	830
376	13041	795
377	13075	761
378	13118	726
379	13155	692
380	13187	657
381	13219	622
382	13251	588
383	13283	553
384	13317	518
385	13352	484
386	13392	449
387	13429	415
388	13468	380
389	13516	346
390	13557	312
391	13590	277
392	13624	242
393	13658	207
394	13694	173
395	13729	138
396	13766	104
397	13803	69
398	13839	34
399	13886	0
