auction_id,loan_id,sale_amount,tax_withheld,sale_date,buyer
AUC3003,LN1003,76918.15,13845.27,2026-03-09,Local Dealer
AUC3008,LN1008,43193.42,4678.03,2026-02-17,Cars24
AUC3014,LN1014,38244.18,6883.95,2026-02-25,Cars24
AUC3015,LN1015,137329.87,24719.38,2026-04-08,Local Dealer
AUC3017,LN1017,145367.59,26166.17,2026-04-06,Cars24
AUC3022,LN1022,119613.56,21530.44,2026-02-12,Cars24
AUC3023,LN1023,173861.8,31295.12,2026-01-27,OLX Auto
AUC3024,LN1024,82085.36,14775.36,2026-04-19,Cars24
AUC3025,LN1025,83023.66,13196.16,2026-03-25,Spinny
AUC3027,LN1027,132117.89,23781.22,2026-01-13,Local Dealer
AUC3028,LN1028,143836.33,25890.54,2026-02-15,OLX Auto
AUC3031,LN1031,73267.57,13188.16,2026-05-20,Cars24
AUC3033,LN1033,133209.19,23977.65,2026-04-26,CarTrade
AUC3034,LN1034,30260.87,5446.96,2026-04-17,Cars24
AUC3039,LN1039,129350.66,23283.12,2026-05-01,Spinny
AUC3040,LN1040,64534.57,11616.22,2026-04-25,Spinny
AUC3043,LN1043,171491.95,30868.55,2026-05-18,Cars24
AUC3045,LN1045,60054.6,10809.83,2026-02-22,OLX Auto
AUC3046,LN1046,118562.98,21341.34,2026-03-12,OLX Auto
AUC3048,LN1048,183122.52,27084.48,2026-04-13,CarTrade
AUC3051,LN1051,141944.2,25549.96,2026-05-07,OLX Auto
AUC3053,LN1053,134417.95,24195.23,2026-03-18,Cars24
AUC3058,LN1058,173878.22,31298.08,2026-03-19,CarTrade
