bank_ref,loan_id,amount,value_date,narrative
BNK2001,LN1001,75194.08,2026-02-12,NEFT/LN1001/TVSCRED
BNK2004,LN1004,90800.47,2026-05-29,NEFT/LN1004/TVSCRED
BNK2005,LN1005,122747.02,2026-06-03,NEFT/LN1005/TVSCRED
BNK2006,LN1006,86485.47,2026-03-02,NEFT/LN1006/TVSCRED
BNK2007,LN1007,45642.1,2026-04-22,NEFT/LN1007/TVSCRED
BNK2008,LN1008,108083.07,2026-05-28,NEFT/LN1008/TVSCRED
BNK2009,LN1009,124031.59,2026-04-10,NEFT/LN1009/TVSCRED
BNK2010,LN1010,34732.29,2026-02-05,NEFT/LN1010/TVSCRED
BNK2011,LN1011,107416.64,2026-03-26,NEFT/LN1011/TVSCRED
BNK2012,LN1012,133344.14,2026-03-08,NEFT/LN1012/TVSCRED
BNK2013,LN1013,106405.46,2026-04-02,NEFT/LN1013/TVSCRED
BNK2013D,LN1013,106405.46,2026-04-02,NEFT/LN1013/TVSCRED/DUP
BNK2014,LN1014,119388.65,2026-01-23,NEFT/LN1014/TVSCRED
BNK2015,LN1015,50569.13,2026-04-02,NEFT/LN1015/TVSCRED
BNK2016,LN1016,90363.24,2026-01-24,NEFT/LN1016/TVSCRED
BNK2017,LN1017,160699.06,2026-03-26,NEFT/LN1017/TVSCRED
BNK2018,LN1018,155195.01,2026-03-15,NEFT/LN1018/TVSCRED
BNK2019,LN1019,178929.87,2026-04-29,NEFT/LN1019/TVSCRED
BNK2021,LN1021,144076.11,2026-02-19,NEFT/LN1021/TVSCRED
BNK2022,LN1022,156436.43,2026-05-12,NEFT/LN1022/TVSCRED
BNK2023,LN1023,68065.07,2026-02-09,NEFT/LN1023/TVSCRED
BNK2024,LN1024,159724.43,2026-02-12,NEFT/LN1024/TVSCRED
BNK2025,LN1025,56602.42,2026-05-09,NEFT/LN1025/TVSCRED
BNK2026,LN1026,47579.84,2026-05-21,NEFT/LN1026/TVSCRED
BNK2027,LN1127,95779.78,2026-05-28,NEFT/LN1127/TVSCRED
BNK2028,LN1028,169464.43,2026-04-27,NEFT/LN1028/TVSCRED
BNK2029,LN1029,40868.84,2026-05-30,NEFT/LN1029/TVSCRED
BNK2030,LN1030,172087.06,2026-01-11,NEFT/LN1030/TVSCRED
BNK2031,LN1031,120180.69,2026-02-23,NEFT/LN1031/TVSCRED
BNK2032,LN1032,111716.74,2026-05-06,NEFT/LN1032/TVSCRED
BNK2033,L11033,176562.57,2026-05-07,NEFT/L11033/TVSCRED
BNK2034,LN1038,105031.85,2026-02-26,NEFT/LN1038/TVSCRED
BNK2035,LN1035,166692.6,2026-05-20,NEFT/LN1035/TVSCRED
BNK2036,LN1036,81838.47,2026-02-16,NEFT/LN1036/TVSCRED
BNK2037,LN1037,120050.37,2026-02-23,NEFT/LN1037/TVSCRED
BNK2038,LN1038,139680.32,2026-03-04,NEFT/LN1038/TVSCRED
BNK2039,LN1039,80112.19,2026-01-12,NEFT/LN1039/TVSCRED
BNK2040,LN1040,98197.21,2026-02-23,NEFT/LN1040/TVSCRED
BNK2042,LN1942,40834.36,2026-05-05,NEFT/LN1942/TVSCRED
BNK2043,LN1043,177713.59,2026-01-05,NEFT/LN1043/TVSCRED
BNK2044,LN1044,166015.46,2026-02-25,NEFT/LN1044/TVSCRED
BNK2045,LN1045,95761.98,2026-01-26,NEFT/LN1045/TVSCRED
BNK2046,LN1046,28520.34,2026-05-04,NEFT/LN1046/TVSCRED
BNK2047,LN1047,176947.42,2026-04-04,NEFT/LN1047/TVSCRED
BNK2048,LN1048,45302.5,2026-01-08,NEFT/LN1048/TVSCRED
BNK2049,LN1049,106620.06,2026-02-09,NEFT/LN1049/TVSCRED
BNK2050,LN1050,57980.87,2026-05-13,NEFT/LN1050/TVSCRED
BNK2051,LN1051,75528.34,2026-05-24,NEFT/LN1051/TVSCRED
BNK2052,LN1052,151332.29,2026-05-17,NEFT/LN1052/TVSCRED
BNK2054,LN1054,148871.42,2026-02-18,NEFT/LN1054/TVSCRED
BNK2054D,LN1054,148871.42,2026-02-18,NEFT/LN1054/TVSCRED/DUP
BNK2055,LN1085,137404.96,2026-05-27,NEFT/LN1085/TVSCRED
BNK2057,LN1057,54652.45,2026-01-15,NEFT/LN1057/TVSCRED
BNK2058,LN1098,112068.05,2026-01-21,NEFT/LN1098/TVSCRED
BNK2059,LN1059,107659.24,2026-05-07,NEFT/LN1059/TVSCRED
BNK2060,LN1060,133378.77,2026-03-12,NEFT/LN1060/TVSCRED
