loan_id,record_type,expected_amount,expected_date
LN1001,AUCTION_RECOVERY,75194.08,2026-02-12
LN1002,EMI_SETTLEMENT,33989.83,2026-05-14
LN1003,EMI_SETTLEMENT,92215.08,2026-01-22
LN1004,EMI_SETTLEMENT,90800.47,2026-05-29
LN1005,EMI_SETTLEMENT,122747.02,2026-06-03
LN1006,EMI_SETTLEMENT,86485.47,2026-03-02
LN1007,EMI_SETTLEMENT,45642.1,2026-04-22
LN1008,FORECLOSURE_PAYOFF,113491.62,2026-05-28
LN1009,EMI_SETTLEMENT,124031.59,2026-04-10
LN1010,FORECLOSURE_PAYOFF,34732.29,2026-01-20
LN1011,AUCTION_RECOVERY,107416.64,2026-03-26
LN1012,EMI_SETTLEMENT,133344.14,2026-03-08
LN1013,FORECLOSURE_PAYOFF,106405.46,2026-04-02
LN1014,EMI_SETTLEMENT,119388.65,2026-01-23
LN1015,EMI_SETTLEMENT,50569.13,2026-04-02
LN1016,FORECLOSURE_PAYOFF,90363.24,2026-01-24
LN1017,AUCTION_RECOVERY,160699.06,2026-03-26
LN1018,AUCTION_RECOVERY,155195.01,2026-03-15
LN1019,AUCTION_RECOVERY,178929.87,2026-04-29
LN1020,AUCTION_RECOVERY,51047.5,2026-02-03
LN1021,FORECLOSURE_PAYOFF,144076.11,2026-02-07
LN1022,EMI_SETTLEMENT,167106.52,2026-05-12
LN1023,AUCTION_RECOVERY,68065.07,2026-02-09
LN1024,EMI_SETTLEMENT,173448.34,2026-02-12
LN1025,FORECLOSURE_PAYOFF,61167.09,2026-05-09
LN1026,AUCTION_RECOVERY,47579.84,2026-05-21
LN1027,AUCTION_RECOVERY,95779.78,2026-05-28
LN1028,EMI_SETTLEMENT,177623.48,2026-04-27
LN1029,EMI_SETTLEMENT,40868.84,2026-05-30
LN1030,EMI_SETTLEMENT,172087.06,2026-01-11
LN1031,FORECLOSURE_PAYOFF,120180.69,2026-02-12
LN1032,EMI_SETTLEMENT,118353.27,2026-05-06
LN1033,AUCTION_RECOVERY,176562.57,2026-05-07
LN1034,FORECLOSURE_PAYOFF,105031.85,2026-02-26
LN1035,AUCTION_RECOVERY,166692.6,2026-05-20
LN1036,AUCTION_RECOVERY,81838.47,2026-02-16
LN1037,EMI_SETTLEMENT,120050.37,2026-02-23
LN1038,EMI_SETTLEMENT,139680.32,2026-03-04
LN1039,EMI_SETTLEMENT,80112.19,2026-01-12
LN1040,FORECLOSURE_PAYOFF,98197.21,2026-02-23
LN1041,AUCTION_RECOVERY,78363.54,2026-04-04
LN1042,EMI_SETTLEMENT,40834.36,2026-05-05
LN1043,AUCTION_RECOVERY,177713.59,2026-01-05
LN1044,AUCTION_RECOVERY,166015.46,2026-02-25
LN1045,FORECLOSURE_PAYOFF,96789.88,2026-01-26
LN1046,FORECLOSURE_PAYOFF,29270.07,2026-05-04
LN1047,EMI_SETTLEMENT,176947.42,2026-04-04
LN1048,FORECLOSURE_PAYOFF,45302.5,2026-01-08
LN1049,AUCTION_RECOVERY,106620.06,2026-02-09
LN1050,EMI_SETTLEMENT,57980.87,2026-05-13
LN1051,AUCTION_RECOVERY,75528.34,2026-05-24
LN1052,AUCTION_RECOVERY,151332.29,2026-05-17
LN1053,FORECLOSURE_PAYOFF,160284.87,2026-02-20
LN1054,EMI_SETTLEMENT,148871.42,2026-02-18
LN1055,EMI_SETTLEMENT,137404.96,2026-05-27
LN1056,FORECLOSURE_PAYOFF,111093.49,2026-02-01
LN1057,EMI_SETTLEMENT,54652.45,2026-01-15
LN1058,AUCTION_RECOVERY,112068.05,2026-01-21
LN1059,FORECLOSURE_PAYOFF,107659.24,2026-05-07
LN1060,FORECLOSURE_PAYOFF,133378.77,2026-03-12
