Agmt Id,Cust Region,Cust State,Asset Model,Asset Fuel Type,Asset Age Months At Seizure,LTV,Loan Amount,Cust Net IRR,Tenure,Cust Cibil Score,App Score Risk,Asset_Health_Index,Predicted_Sold_Amount,DL_Predicted_Sold_Amount,Ensemble_Predicted_Sold_Amount,Lambda_P10,Lambda_P50,Lambda_P90,Calibrated_Lambda,Residual_Value_Forecast_12M,Residual_Value_Forecast_24M,Residual_Value_Forecast_36M,Residual_Risk_Score,Risk_Band,Asset_Risk_Component,Loan_Risk_Component,Segment_Risk_Index,Market_Volatility_Score,Recovery_Ratio,Recovery_Efficiency_Index,Profitability_Score,LGD,Recommended_LTV,Recommended_Pricing,Recommended_Tenure,Target Sold Amount At Liquidation
ASSET_1,AP,AP,MOPEDS,Petrol,17.1,0.8482962962962963,68712,24.69,29,732.0,LOW RISK,100.0,32258.09489658762,30733.094,31522.2979178862,0.045415791097134985,0.07113867698261236,0.1597514165447895,0.05384094376501024,16906.15388932201,8860.350874585361,4643.623744035015,28.2,Medium,0.0,56.4,82.3,59.8,0.4567901234567901,39.41705373503217,23.48121830655814,0.2116589252993566,0.5,29.45,30.0,37000.0
ASSET_2,AP,AP,RADEON,Petrol,6.4,0.8497191011235955,90750,26.9,23,732.0,LOW RISK,100.0,50413.64872992881,50510.676,50460.46222574949,0.036996492073884155,0.06348191517339964,0.10191185633284777,0.11729624687143236,12338.284434946929,3019.683491135171,2136.0,43.5,Medium,0.0,56.5,89.4,100.0,0.5243445692883895,32.87272385737934,13.689269755920023,0.34254552285241324,0.5,28.59,30.0,56000.0
ASSET_3,AP,AP,MOPEDS,Petrol,13.46666666666667,0.9134035957842529,73666,27.23,23,763.0,LOW RISK,66.66666666666666,37321.64363218576,36835.8,37087.22941220862,0.03659804654237946,0.052192138552049336,0.09364733174167181,0.05721871692851128,18782.93628868259,9452.924932825295,4757.391944063161,29.3,Medium,23.3,57.1,82.3,31.8,0.5021698698078115,39.184877152991305,23.112338011652906,0.21630245694017392,0.5,29.45,30.0,40500.0
ASSET_4,AP,AP,MOPEDS,Petrol,6.266666666666667,0.8586666666666667,70840,24.38,23,732.0,MEDIUM RISK,66.66666666666666,40973.430513303574,43947.22,42408.25027735635,0.0457475476711445,0.07814708549614571,0.16255936518332786,0.11168209674949026,10726.728951099683,2808.22749154481,1650.0,43.2,Medium,23.3,56.9,82.3,68.8,0.593939393939394,37.19221544160063,18.38407414154294,0.2561556911679874,0.5,29.45,30.0,49000.0
ASSET_5,AP,AP,MOPEDS,Petrol,8.4,0.8790060606060606,72518,33.23,23,653.0,MEDIUM RISK,100.0,44042.84720905284,41194.812,42668.70077013744,0.034109671372864275,0.05723346790494495,0.07961372870803611,0.07471849203005461,17967.077509393497,7329.58686109194,2990.0713416639073,26.4,Medium,0.0,64.5,82.3,49.7,0.5575757575757576,34.549578645356085,21.292177524748013,0.30900842709287824,0.5,29.45,30.0,46000.0
ASSET_6,AP,AP,TVS,EV,16.2,0.8199416666666667,98393,14.75,35,738.0,ULTRA LOW RISK,100.0,52576.893820969366,45575.824,49198.95324864176,0.039084463951788134,0.08715498007846154,0.16138494540715642,0.05093919756300595,28531.432421122645,15482.897083517353,8401.965192652526,26.7,Medium,0.0,54.5,89.8,68.8,0.5375,45.36694472969741,21.685948485658418,0.09266110540605177,0.5,24.16,36.0,64500.0
ASSET_7,AP,AP,NTORQ,Petrol,21.46666666666667,0.8693574007220216,120406,25.79,36,701.0,ULTRA LOW RISK,66.66666666666666,42665.00529551395,50297.76,46347.72688992494,0.04128418711699566,0.05855613158457121,0.12734393031854632,0.05485207870436628,22090.642258913245,11437.862764371774,5922.177503183121,47.7,Medium,23.3,60.1,96.8,62.1,0.296028880866426,24.02409440883149,3.558986066025237,0.5195181118233702,0.5,28.34,36.0,41000.0
ASSET_8,AP,AP,ZEST,Petrol,18.73333333333333,0.9672062350119904,96798,25.89,29,703.0,LOW RISK,100.0,43001.30657621419,44764.75,43852.14925407863,0.03367593329721856,0.055436332537460734,0.10600973971428715,0.045092848688614046,25031.031533041532,14570.546559966422,8481.505317745594,23.1,Low,0.0,64.8,74.3,31.8,0.49960031974420466,40.92523777563148,21.797459852341742,0.18149524448737042,0.886,25.99,30.0,50000.0
ASSET_9,AP,AP,JUPITER,Petrol,28.33333333333333,0.7814761904761904,82055,25.8,29,720.0,LOW RISK,58.333333333333336,27285.163823675255,29750.05,28474.444661704314,0.02769254451215018,0.045748797651180534,0.07542597309776342,0.047562961601334185,15418.800331119966,8713.138216332034,4923.7797978146145,29.6,Medium,29.2,54.1,85.2,24.2,0.3523809523809524,55.63409485883825,28.04,-0.11268189717676513,0.5,28.04,30.0,37000.0
ASSET_10,AP,AP,JUPITER,Petrol,4.933333333333334,0.88,104280,19.68,29,767.0,MEDIUM RISK,100.0,60202.8457634962,58452.36,59358.254956726654,0.04227822295711596,0.06887042025808189,0.1368362757017157,0.13726891977543523,11594.056379366173,2370.0,2370.0,20.4,Low,0.0,55.1,85.2,15.4,0.48945147679324896,26.462751396138263,17.946802569624413,0.47074497207723476,0.675,27.55,30.0,58000.0
ASSET_11,AP,AP,ZEST,Petrol,12.9,0.8365,83650,21.73,23,732.0,HIGH RISK,66.66666666666666,44604.11042160602,46485.375,45511.799227562675,0.035583661088069964,0.0622328503559764,0.12861289771900433,0.06258481932475227,21048.055589183605,9932.282919620027,4686.905333244707,34.3,Medium,23.3,55.8,74.3,54.3,0.465,43.643121280949075,24.67918119873106,0.12713757438101858,0.506,29.04,30.0,46500.0
